62 0.766 0.87045 1.122 -1 1.059 0.879 0.912 0.911 0.835 0.814 0.844 0.879 0.988 0.776 0.863 0.838 0.801 0.874 0.845 0.83 0.909 0.884 0.819 0.852 0.837 0.895 0.865 0.849 0.83 0.825 0.995 0.832 0.892 0.798 0.853 0.846 0.867 0.961 0.965 0.871 0.887 0.883 0.886 0.913 0.814 0.821 0.856 0.822 0.863 0.804 0.87 0.965 0.868 0.803 0.817 0.901 0.848 0.911 0.835 0.916 0.823 0.894 0.8 0.848 0.866 0.883 0.825 0.935 0.83 0.797 0.9 0.833 0.875 0.958 0.971 0.862 0.913 0.896 0.935 0.873 0.812 0.841 0.808 0.901 0.861 0.82 0.802 0.879 0.816 0.937 0.818 0.892 0.894 0.846 0.927 0.849 0.88 0.841 0.92 0.863 0.847 0.766 0.91 1.122
139 0.865 0.97072 1.193 -1 1.043 1.12 1.085 1.063 0.916 0.985 1.004 0.908 0.896 0.962 0.968 1.193 0.934 0.942 0.865 1.049 0.99 1.132 0.923 1.009 0.933 0.915 0.904 1.064 0.907 0.959 0.962 0.944 0.938 0.903 0.923 1.102 0.961 0.969 0.948 0.892 0.898 0.925 1.044 0.976 0.898 1.027 1.058 0.912 0.917 0.9 0.976 1.027 0.975 1.047 1.14 0.931 0.967 0.938 0.973 0.946 0.966 1.016 0.973 0.991 0.976 0.942 0.988 0.939 0.972 0.934 0.892 0.968 0.979 0.975 1.011 0.93 0.945 1.018 1 0.9 0.96 0.944 0.973 0.97 1.029 1.019 0.904 0.915 0.918 0.88 0.948 0.874 0.98 0.967 0.934 1.005 0.971 0.963 0.972 0.987 0.977 1.024 0.954 1.003
1938 1.634 1.74049 1.931 -1 1.854 1.681 1.764 1.793 1.884 1.773 1.796 1.73 1.708 1.729 1.771 1.776 1.775 1.704 1.657 1.738 1.708 1.695 1.746 1.755 1.731 1.693 1.673 1.7 1.707 1.724 1.832 1.76 1.774 1.751 1.644 1.744 1.653 1.784 1.762 1.785 1.853 1.734 1.782 1.76 1.654 1.706 1.835 1.771 1.708 1.658 1.758 1.722 1.654 1.725 1.671 1.798 1.693 1.885 1.682 1.757 1.713 1.787 1.679 1.778 1.653 1.634 1.643 1.676 1.749 1.765 1.74 1.769 1.801 1.931 1.797 1.772 1.711 1.802 1.782 1.725 1.715 1.878 1.677 1.75 1.698 1.704 1.761 1.742 1.708 1.666 1.782 1.661 1.757 1.786 1.819 1.749 1.665 1.664 1.78 1.684 1.677 1.69 1.741 1.828
18183 5.09 5.22344 5.464 -1 5.388 5.187 5.157 5.206 5.272 5.169 5.237 5.203 5.156 5.239 5.23 5.224 5.217 5.21 5.208 5.221 5.191 5.238 5.186 5.249 5.305 5.158 5.266 5.177 5.212 5.26 5.231 5.176 5.139 5.3 5.286 5.188 5.313 5.14 5.121 5.303 5.202 5.369 5.189 5.174 5.123 5.197 5.184 5.176 5.208 5.274 5.203 5.464 5.272 5.201 5.193 5.237 5.278 5.191 5.117 5.21 5.17 5.231 5.183 5.237 5.23 5.342 5.207 5.2 5.221 5.09 5.288 5.193 5.321 5.186 5.175 5.283 5.153 5.125 5.166 5.133 5.315 5.302 5.194 5.19 5.201 5.278 5.218 5.263 5.147 5.205 5.164 5.395 5.187 5.273 5.177 5.307 5.37 5.175 5.22 5.246 5.239 5.224 5.256 5.239
307330 55.884 56.151 56.625 -1 56.3 56.155 56.09 56.26 55.897 56.092 56.201 56.165 56.096 56.143 56.034 56.18 56.173 56.212 56.029 56.127 56.129 56.242 56.224 56.619 56.303 56.006 55.902 56.213 56.208 56.141 56.166 56.107 56.155 56.059 56.132 56.145 56.202 56.153 56.092 56.049 56.146 56.199 56.299 56.094 56.176 56.431 56.197 56.326 56.319 56.166 56.117 55.903 56.136 56.086 56.231 56.262 56.212 56.246 56.209 56.067 56.192 56.107 56.219 56.201 56.13 56.237 56.11 56.068 55.921 56.105 56.21 55.954 56.115 56.039 56.12 56.255 56.163 56.192 55.934 56.213 56.283 56.064 55.959 56.148 56.173 56.196 55.926 56.205 56.625 56.007 56.162 56.139 56.189 56.237 56.26 56.198 56.105 56.054 55.884 56.073 56.243 56.052 56.051 56.157
921701 166.735 167.224 167.732 -1 167.011 167.216 167.297 167.359 167.622 167.207 167.121 167.195 167.105 167.176 167.659 167.143 167.267 167.181 167.258 167.195 167.262 167.185 167.099 167.473 167.277 167.206 167.167 167.054 167.095 167.301 167.297 167.344 167.171 167.168 167.209 167.074 167.162 167.491 167.044 167.596 167.133 167.258 167.365 167.142 167.265 167.387 167.092 167.497 167.306 167.309 167.316 166.992 166.735 167.137 167.059 167.288 167.356 167.186 167.321 167.046 167.289 167.22 167.394 167.201 167.638 167.3 167.349 167.246 167.22 167.016 167.455 166.945 167.277 167.177 167.351 167.019 167.2 167.37 167.288 167.191 167.235 166.87 167.284 167.066 167.036 167.183 167.267 167.399 167.245 167.732 166.983 167.045 167.303 167.154 167.232 167.228 167.087 167.029 167.351 167.421 167.077 167.01 166.936 167.199
