62 1 1.43 16 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
139 1 1.87 16 -1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1
1938 1 1.88 16 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1
18183 1 2.17 16 -1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 16 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 1 1 1 1 1 1 1 16 1 1 1
307330 1 12.11 16 -1 15 16 15 1 16 16 15 1 16 16 15 1 16 15 16 16 1 15 16 16 1 15 16 15 1 15 16 15 1 16 16 15 1 16 16 15 1 16 15 16 1 16 15 16 1 16 15 16 1 16 15 16 1 15 16 16 1 15 16 16 1 15 16 15 1 16 16 15 1 16 16 15 1 16 16 15 1 16 15 16 1 16 15 16 1 16 15 16 1 15 16 16 1 15 16 16 1 15 16 16
921701 31 39.22 47 -1 47 31 47 31 47 31 47 32 46 32 47 31 47 31 47 31 47 31 47 31 47 32 46 32 47 46 32 47 31 47 31 47 31 47 31 47 31 47 31 47 32 47 31 47 31 47 31 47 31 47 31 47 31 47 32 46 32 47 31 47 47 31 47 31 47 31 47 31 47 31 47 32 46 32 47 31 47 31 47 31 47 31 47 31 47 31 47 32 47 31 47 31 47 31 47 31 47 31 47 31
