62 0.462 0.53208 0.864 -1 0.864 0.583 0.609 0.564 0.516 0.545 0.489 0.567 0.546 0.521 0.532 0.519 0.515 0.523 0.486 0.556 0.475 0.529 0.597 0.644 0.484 0.495 0.499 0.484 0.527 0.549 0.568 0.485 0.495 0.492 0.499 0.514 0.493 0.484 0.633 0.609 0.672 0.553 0.529 0.546 0.495 0.536 0.51 0.516 0.592 0.504 0.476 0.523 0.492 0.486 0.564 0.645 0.475 0.541 0.505 0.505 0.505 0.516 0.576 0.51 0.471 0.537 0.482 0.512 0.505 0.516 0.503 0.588 0.496 0.523 0.475 0.578 0.479 0.531 0.497 0.51 0.482 0.568 0.627 0.552 0.559 0.494 0.616 0.561 0.523 0.517 0.474 0.489 0.556 0.504 0.578 0.462 0.51 0.514 0.472 0.544 0.499 0.512 0.579 0.551
139 0.523 0.58668 0.786 -1 0.782 0.535 0.6 0.562 0.626 0.532 0.571 0.551 0.568 0.566 0.553 0.559 0.615 0.669 0.579 0.527 0.622 0.563 0.535 0.58 0.576 0.523 0.614 0.612 0.567 0.55 0.556 0.559 0.581 0.674 0.54 0.622 0.563 0.593 0.566 0.617 0.672 0.567 0.533 0.576 0.535 0.54 0.584 0.545 0.646 0.642 0.601 0.613 0.531 0.615 0.565 0.542 0.562 0.572 0.558 0.559 0.786 0.685 0.549 0.574 0.573 0.608 0.569 0.612 0.533 0.547 0.559 0.543 0.559 0.606 0.535 0.583 0.594 0.602 0.536 0.591 0.715 0.674 0.536 0.595 0.535 0.607 0.603 0.588 0.642 0.574 0.534 0.576 0.557 0.641 0.534 0.566 0.601 0.682 0.611 0.597 0.597 0.64 0.533 0.62
1938 1.284 1.36539 1.55 -1 1.55 1.324 1.316 1.285 1.333 1.319 1.416 1.471 1.349 1.422 1.347 1.317 1.342 1.325 1.403 1.322 1.344 1.418 1.347 1.321 1.299 1.333 1.35 1.403 1.308 1.365 1.308 1.352 1.368 1.289 1.368 1.321 1.302 1.332 1.365 1.451 1.438 1.355 1.439 1.428 1.347 1.373 1.297 1.373 1.337 1.325 1.424 1.347 1.345 1.42 1.378 1.335 1.415 1.341 1.394 1.523 1.333 1.354 1.329 1.367 1.36 1.303 1.362 1.414 1.287 1.35 1.423 1.448 1.322 1.308 1.422 1.535 1.436 1.387 1.409 1.526 1.287 1.5 1.371 1.305 1.326 1.314 1.319 1.335 1.417 1.34 1.353 1.485 1.356 1.364 1.284 1.332 1.329 1.369 1.362 1.345 1.361 1.344 1.317 1.33
18183 4.609 4.79146 6.272 -1 4.985 4.767 4.746 4.795 4.803 4.725 4.758 4.623 4.821 4.781 4.762 4.755 4.853 4.934 4.762 4.813 4.853 4.859 4.733 4.789 4.839 4.818 4.803 4.667 4.816 4.789 4.751 4.799 4.781 4.797 4.71 4.788 4.922 4.942 4.757 4.81 4.633 4.73 4.823 4.857 4.775 4.633 4.633 4.765 4.749 4.886 4.775 4.86 4.676 4.796 4.672 4.857 4.63 4.785 4.614 4.803 4.741 4.839 4.885 4.838 4.84 4.635 4.753 4.886 4.965 4.751 4.843 4.711 4.729 4.609 4.762 4.829 4.628 4.747 4.844 4.785 4.629 4.778 4.892 4.794 4.92 4.817 4.639 4.634 4.815 4.715 4.802 4.785 4.615 4.715 4.82 4.754 4.732 4.792 4.887 4.744 4.942 4.647 4.728 6.272
307330 54.755 54.9945 55.208 -1 54.985 55.019 54.88 55.088 54.842 55.009 55.04 54.871 55.023 54.955 55.029 55.003 54.797 55.095 54.755 54.842 54.937 54.864 54.858 54.974 54.888 55.021 55.107 54.963 54.924 54.969 55.151 55.003 55.052 55.036 54.891 54.899 54.794 55.09 55.181 54.983 55.005 54.977 54.871 54.934 55.024 55.001 54.997 54.964 54.966 55.105 55.145 54.981 54.905 54.978 55.039 55.017 55.103 54.806 54.919 55.127 55.205 54.784 55.115 55.099 55.173 55.134 55.012 55.007 55.013 55.146 54.853 55.031 54.98 54.998 54.798 55.036 55.046 54.954 55.007 54.981 55.016 54.845 55.007 54.786 55.052 54.949 54.896 55.018 54.978 55.147 55.033 54.883 55.048 55.115 55.003 55.208 55.002 54.857 55.166 55.052 55.061 55.148 54.938 55.192
921701 162.448 162.694 162.901 -1 162.61 162.549 162.702 162.672 162.66 162.634 162.7 162.863 162.803 162.623 162.559 162.833 162.635 162.826 162.521 162.686 162.638 162.614 162.517 162.593 162.468 162.732 162.5 162.726 162.663 162.807 162.619 162.901 162.609 162.84 162.787 162.706 162.589 162.81 162.582 162.749 162.868 162.684 162.524 162.857 162.693 162.666 162.759 162.856 162.676 162.606 162.811 162.739 162.774 162.551 162.615 162.587 162.553 162.849 162.77 162.671 162.765 162.845 162.537 162.595 162.728 162.799 162.647 162.68 162.507 162.658 162.768 162.628 162.567 162.721 162.677 162.76 162.669 162.814 162.796 162.798 162.625 162.8 162.736 162.666 162.746 162.849 162.487 162.774 162.592 162.698 162.66 162.79 162.762 162.841 162.625 162.847 162.448 162.641 162.827 162.781 162.692 162.612 162.753 162.771
