12 0.154 0.19692 0.39 -1 0.182 0.157 0.161 0.284 0.337 0.159 0.283 0.157 0.167 0.39 0.162 0.157 0.162 0.159 0.29 0.292 0.159 0.161 0.162 0.31 0.158 0.161 0.161 0.161 0.158 0.287 0.161 0.16 0.29 0.16 0.318 0.16 0.158 0.158 0.159 0.163 0.159 0.159 0.16 0.161 0.282 0.297 0.16 0.165 0.159 0.161 0.283 0.165 0.165 0.288 0.158 0.301 0.288 0.161 0.16 0.164 0.155 0.161 0.161 0.157 0.321 0.158 0.288 0.3 0.158 0.159 0.16 0.159 0.288 0.164 0.161 0.291 0.154 0.283 0.16 0.162 0.158 0.16 0.161 0.158 0.158 0.161 0.308 0.16 0.16 0.158 0.161 0.16 0.157 0.293 0.16 0.159 0.161 0.158 0.159 0.289 0.155 0.173 0.302 0.203
84 0.154 0.23166 0.38 -1 0.312 0.307 0.311 0.161 0.316 0.159 0.292 0.301 0.166 0.163 0.159 0.287 0.293 0.308 0.165 0.306 0.162 0.346 0.159 0.167 0.159 0.164 0.286 0.294 0.162 0.293 0.166 0.303 0.363 0.163 0.161 0.16 0.16 0.299 0.161 0.158 0.162 0.161 0.342 0.29 0.16 0.167 0.332 0.158 0.292 0.284 0.295 0.29 0.161 0.295 0.309 0.159 0.158 0.38 0.161 0.163 0.16 0.304 0.309 0.159 0.299 0.163 0.161 0.163 0.295 0.324 0.167 0.161 0.367 0.323 0.159 0.284 0.162 0.165 0.16 0.297 0.161 0.162 0.158 0.289 0.3 0.166 0.284 0.156 0.376 0.154 0.167 0.289 0.162 0.162 0.31 0.342 0.162 0.302 0.159 0.287 0.287 0.163 0.289 0.286
804 0.292 0.32238 0.42 -1 0.313 0.304 0.309 0.308 0.331 0.314 0.314 0.355 0.318 0.331 0.336 0.309 0.31 0.316 0.309 0.31 0.306 0.307 0.332 0.309 0.367 0.321 0.307 0.303 0.314 0.332 0.314 0.313 0.307 0.332 0.314 0.391 0.325 0.337 0.328 0.306 0.309 0.311 0.308 0.309 0.418 0.306 0.358 0.306 0.338 0.335 0.312 0.353 0.307 0.31 0.305 0.339 0.308 0.33 0.301 0.326 0.329 0.308 0.329 0.319 0.31 0.319 0.308 0.307 0.324 0.309 0.42 0.329 0.308 0.336 0.314 0.292 0.308 0.341 0.307 0.309 0.308 0.368 0.357 0.303 0.348 0.315 0.334 0.315 0.321 0.311 0.309 0.307 0.332 0.336 0.308 0.323 0.325 0.362 0.327 0.316 0.312 0.309 0.311 0.314
8004 0.508 0.67167 0.782 -1 0.7 0.697 0.672 0.695 0.682 0.722 0.656 0.71 0.698 0.733 0.724 0.657 0.691 0.669 0.693 0.663 0.745 0.706 0.697 0.572 0.689 0.568 0.568 0.697 0.675 0.688 0.572 0.575 0.694 0.638 0.659 0.714 0.774 0.656 0.694 0.52 0.676 0.65 0.662 0.654 0.651 0.654 0.727 0.733 0.671 0.714 0.665 0.655 0.644 0.641 0.655 0.533 0.724 0.664 0.714 0.653 0.703 0.687 0.724 0.67 0.662 0.662 0.663 0.768 0.719 0.697 0.66 0.7 0.677 0.782 0.658 0.656 0.656 0.526 0.656 0.658 0.669 0.766 0.631 0.71 0.723 0.65 0.606 0.533 0.657 0.654 0.64 0.637 0.508 0.641 0.741 0.711 0.653 0.77 0.654 0.764 0.713 0.664 0.658 0.727
80004 3.3 3.51247 3.979 -1 3.979 3.527 3.445 3.595 3.351 3.338 3.458 3.585 3.659 3.632 3.407 3.433 3.558 3.366 3.678 3.426 3.397 3.608 3.556 3.638 3.445 3.567 3.713 3.478 3.425 3.574 3.487 3.382 3.484 3.341 3.614 3.419 3.62 3.819 3.474 3.658 3.503 3.461 3.469 3.407 3.397 3.44 3.384 3.389 3.389 3.53 3.533 3.526 3.792 3.355 3.418 3.7 3.595 3.536 3.672 3.357 3.527 3.492 3.464 3.497 3.512 3.468 3.367 3.837 3.401 3.635 3.677 3.451 3.475 3.588 3.421 3.6 3.598 3.443 3.512 3.418 3.712 3.685 3.37 3.406 3.613 3.449 3.368 3.384 3.457 3.595 3.531 3.536 3.445 3.543 3.348 3.377 3.606 3.379 3.488 3.3 3.412 3.658 3.694 3.519
800004 31.786 33.8186 35.411 -1 33.911 34.543 33.733 34.301 34.142 34.421 33.831 34.117 33.843 33.984 34.016 34.555 32.928 34.693 34.205 32.329 33.918 35.102 32.575 35.23 34.047 33.204 33.94 34.352 34.011 35.411 34.219 34.37 34.103 34.038 33.954 34.195 34.051 33.761 34.367 32.407 34.239 34.326 33.49 34.159 33.976 32.394 34.396 33.49 31.786 33.379 34.636 32.985 34.25 34.357 32.796 33.739 34.52 32.473 34.41 34.14 32.947 33.738 33.53 33.59 34.031 34.412 34.26 33.857 33.869 34.356 33.865 34.922 33.988 34.328 33.049 34.057 34.182 33.065 34.705 34.583 32.406 33.684 33.322 32.355 34.326 33.444 32.286 34.051 34.519 32.249 33.854 33.628 32.552 34.017 33.693 32.993 34.252 34.212 33.112 33.84 33.933 33.184 33.833 34.036
