62 0.529 0.6649 0.94 -1 0.758 0.654 0.654 0.571 0.677 0.606 0.699 0.641 0.678 0.735 0.709 0.634 0.674 0.548 0.711 0.718 0.653 0.581 0.671 0.754 0.608 0.557 0.716 0.543 0.769 0.695 0.664 0.571 0.574 0.543 0.729 0.57 0.705 0.588 0.727 0.763 0.732 0.645 0.753 0.678 0.648 0.67 0.71 0.59 0.608 0.619 0.781 0.701 0.659 0.797 0.752 0.702 0.613 0.532 0.741 0.707 0.688 0.598 0.679 0.94 0.531 0.569 0.714 0.717 0.639 0.668 0.651 0.65 0.599 0.794 0.703 0.784 0.535 0.739 0.529 0.6 0.643 0.702 0.66 0.593 0.605 0.713 0.631 0.62 0.692 0.771 0.569 0.728 0.766 0.775 0.649 0.6 0.545 0.708 0.598 0.615 0.693 0.733 0.648 0.62
139 0.629 0.75002 1.134 -1 0.878 0.786 0.822 0.717 0.7 0.653 0.673 0.712 0.788 0.812 0.723 0.695 0.762 0.744 0.745 0.679 0.813 0.716 0.809 0.636 0.785 0.769 0.732 0.742 0.746 0.718 0.635 0.849 0.733 0.71 0.735 0.682 0.792 0.889 0.702 0.655 0.879 0.712 0.711 0.795 1.134 0.824 0.656 0.73 0.752 0.7 0.642 0.731 0.854 0.792 0.65 0.68 0.692 0.695 0.635 0.772 0.791 0.629 0.733 0.854 0.643 0.701 0.704 0.89 0.64 0.907 0.757 0.871 0.656 0.732 0.636 0.824 0.878 0.846 0.744 0.709 0.78 0.644 0.65 0.753 0.648 0.741 0.849 0.676 0.664 0.797 0.652 0.819 0.72 0.738 0.801 0.779 0.783 0.826 0.881 0.77 0.74 0.809 0.727 0.837
1938 1.778 1.92845 2.142 -1 2.043 1.908 2.054 1.88 1.903 2.033 1.879 1.931 1.893 1.802 1.924 1.876 2.026 1.822 1.879 1.842 1.963 1.981 1.958 1.964 1.97 1.937 1.933 1.88 1.921 1.927 1.856 1.983 1.818 1.849 1.981 1.871 1.847 2.005 1.922 1.869 1.867 2.067 1.876 1.827 1.851 1.975 1.889 1.991 1.989 1.884 1.851 1.778 1.859 2.015 2.032 1.806 1.965 1.922 2.081 1.813 1.907 1.944 1.88 1.897 1.947 1.876 1.859 1.846 1.811 1.995 1.938 2.031 2.032 1.939 1.86 1.889 1.85 1.991 1.89 1.992 1.996 1.86 1.838 1.965 2.044 1.842 1.975 2.142 2.031 1.956 1.91 1.911 1.933 1.987 2.059 1.869 1.817 1.943 1.947 2.025 2.113 2.061 1.918 1.861
18183 6.145 6.36049 6.79 -1 6.439 6.371 6.34 6.367 6.488 6.307 6.373 6.368 6.305 6.274 6.338 6.351 6.422 6.354 6.273 6.352 6.393 6.204 6.442 6.493 6.421 6.404 6.358 6.405 6.317 6.314 6.363 6.408 6.428 6.3 6.366 6.356 6.305 6.337 6.361 6.375 6.38 6.372 6.345 6.366 6.232 6.173 6.38 6.262 6.442 6.777 6.525 6.347 6.267 6.378 6.409 6.306 6.366 6.439 6.368 6.309 6.32 6.508 6.314 6.412 6.387 6.346 6.329 6.451 6.37 6.337 6.308 6.225 6.298 6.368 6.357 6.337 6.181 6.42 6.325 6.334 6.29 6.362 6.412 6.376 6.371 6.345 6.79 6.341 6.338 6.37 6.31 6.176 6.513 6.359 6.408 6.232 6.396 6.347 6.31 6.145 6.432 6.346 6.372 6.266
307330 56.121 56.6625 57.279 -1 56.815 56.486 57.059 56.272 56.849 56.534 57.063 56.167 57.187 56.343 57.085 56.589 56.85 56.121 56.844 56.411 56.907 56.32 56.977 56.387 56.969 56.465 57.038 56.451 56.84 56.188 57.088 56.411 57.144 56.314 57.279 56.299 57.078 56.133 56.996 56.22 57.046 56.352 57.004 56.485 56.979 56.612 56.924 56.343 56.802 56.427 56.946 56.428 56.973 56.49 56.916 56.196 56.901 56.374 56.878 56.431 56.963 56.528 56.91 56.126 57.013 56.355 57.117 56.307 56.883 56.414 56.974 56.362 56.86 56.378 57.059 56.345 56.906 56.157 56.921 56.38 56.814 56.327 56.753 56.19 56.938 56.509 56.915 56.508 57.024 56.32 57.057 56.334 56.99 56.327 56.87 56.397 56.812 56.506 56.814 56.5 56.878 56.505 56.94 56.374
921701 168.371 168.911 194.679 -1 168.744 168.75 168.646 168.548 168.664 168.515 168.371 168.583 168.61 168.753 168.837 168.492 168.663 168.687 168.829 168.714 168.804 168.52 168.766 168.528 168.83 168.663 168.676 168.514 168.451 168.478 168.531 168.717 168.622 168.463 168.794 168.724 168.766 168.901 168.857 168.776 168.712 168.473 168.605 168.564 168.65 168.531 168.678 168.637 168.801 168.695 168.503 168.491 168.822 168.553 168.941 168.531 168.572 168.497 168.888 168.56 168.541 168.729 168.651 168.467 168.582 168.523 168.728 168.6 168.667 168.718 168.701 168.498 168.668 168.71 168.65 168.552 168.498 168.574 168.556 168.591 169.004 168.595 168.651 168.872 168.651 168.695 168.651 194.679 168.795 168.704 168.486 168.671 168.851 168.586 168.899 168.641 168.528 168.647 168.661 168.965 168.607 168.452 168.579 168.555
