62 0.21 0.25543 0.463 -1 0.463 0.234 0.225 0.266 0.223 0.237 0.259 0.244 0.266 0.222 0.225 0.269 0.319 0.303 0.236 0.212 0.222 0.258 0.225 0.34 0.326 0.25 0.224 0.222 0.238 0.223 0.211 0.323 0.325 0.248 0.234 0.212 0.237 0.258 0.217 0.257 0.234 0.269 0.225 0.21 0.298 0.232 0.211 0.282 0.336 0.229 0.25 0.215 0.23 0.218 0.215 0.354 0.288 0.272 0.219 0.381 0.24 0.235 0.218 0.349 0.288 0.229 0.215 0.212 0.226 0.219 0.262 0.254 0.235 0.262 0.217 0.212 0.265 0.258 0.281 0.326 0.257 0.228 0.259 0.243 0.24 0.219 0.309 0.349 0.288 0.23 0.25 0.22 0.221 0.252 0.261 0.316 0.276 0.272 0.215 0.224 0.247 0.222 0.261 0.26
139 0.224 0.29074 0.519 -1 0.485 0.242 0.275 0.249 0.224 0.321 0.35 0.242 0.238 0.232 0.23 0.277 0.255 0.357 0.307 0.294 0.239 0.231 0.276 0.25 0.229 0.278 0.33 0.251 0.229 0.26 0.236 0.235 0.229 0.29 0.236 0.326 0.25 0.396 0.396 0.519 0.484 0.304 0.433 0.256 0.3 0.274 0.276 0.314 0.28 0.431 0.407 0.244 0.26 0.228 0.335 0.299 0.232 0.29 0.438 0.407 0.232 0.224 0.334 0.226 0.226 0.271 0.313 0.276 0.266 0.29 0.367 0.227 0.276 0.334 0.307 0.289 0.233 0.259 0.298 0.225 0.364 0.343 0.389 0.241 0.229 0.225 0.282 0.225 0.348 0.323 0.302 0.267 0.247 0.258 0.334 0.261 0.282 0.228 0.297 0.305 0.231 0.286 0.353 0.225
1938 0.262 0.33877 0.575 -1 0.575 0.318 0.324 0.318 0.265 0.299 0.316 0.414 0.334 0.306 0.376 0.338 0.475 0.307 0.338 0.333 0.412 0.327 0.324 0.267 0.262 0.292 0.336 0.377 0.361 0.342 0.349 0.267 0.301 0.337 0.327 0.315 0.4 0.346 0.323 0.275 0.359 0.314 0.315 0.421 0.338 0.493 0.346 0.305 0.321 0.42 0.38 0.326 0.438 0.351 0.288 0.266 0.32 0.296 0.275 0.36 0.374 0.341 0.275 0.28 0.37 0.314 0.395 0.311 0.438 0.294 0.316 0.264 0.366 0.313 0.377 0.381 0.442 0.293 0.274 0.311 0.362 0.322 0.322 0.317 0.391 0.281 0.313 0.311 0.284 0.267 0.359 0.338 0.322 0.361 0.273 0.565 0.311 0.296 0.33 0.47 0.352 0.28 0.269 0.344
18183 0.422 0.50861 1.092 -1 0.708 0.645 0.52 0.512 0.479 0.441 0.427 0.489 0.514 0.537 0.57 0.519 0.444 0.437 0.475 0.551 0.47 0.503 0.424 0.459 0.534 0.478 0.465 0.466 0.476 0.499 0.579 0.531 0.553 0.435 0.425 0.466 0.507 0.611 0.549 0.52 0.444 0.462 0.422 0.498 0.427 0.538 0.539 0.519 0.445 0.435 0.504 0.581 0.517 0.639 0.43 0.548 0.455 0.425 0.509 0.506 0.491 0.474 0.579 0.548 0.445 0.47 0.432 0.496 0.558 0.543 0.487 0.573 0.452 1.092 0.544 0.518 0.516 0.43 0.583 0.523 0.437 0.6 0.431 0.49 0.531 0.515 0.484 0.592 0.442 0.423 0.491 0.536 0.495 0.443 0.58 0.584 0.468 0.427 0.494 0.546 0.577 0.51 0.462 0.488
307330 2.674 2.97692 3.193 -1 3.193 3.058 3.037 3.065 3.138 3.05 3.1 2.962 3.034 3.186 3.054 3.07 3.077 3.102 3.034 2.947 3.089 3.053 3.044 3.089 3.142 3.051 3.063 2.954 3.018 3.079 3.151 3.111 3.11 3.075 3.017 2.935 3.079 3.064 3.139 2.925 3.128 3.086 3.044 3 3.076 3.028 3.104 2.99 3.073 3.101 3.023 3.075 3.064 3.053 3.136 3.116 3.057 3.04 3.028 2.94 3.073 3.02 3.136 3.056 3.072 3.058 3.038 2.956 3.049 3.115 3.033 3.108 3.106 3.047 2.818 2.756 2.776 2.803 2.742 2.714 2.807 2.727 2.8 2.768 2.761 2.808 2.771 2.827 2.829 2.733 2.674 2.701 2.752 2.847 2.839 2.789 2.762 2.737 2.761 2.73 2.821 2.923 2.859 2.733
921701 8.397 8.55252 8.789 -1 8.679 8.789 8.656 8.519 8.648 8.629 8.59 8.429 8.58 8.654 8.649 8.413 8.642 8.589 8.438 8.44 8.532 8.598 8.624 8.429 8.499 8.536 8.482 8.565 8.506 8.574 8.578 8.508 8.591 8.553 8.549 8.531 8.596 8.647 8.7 8.583 8.642 8.734 8.521 8.446 8.493 8.525 8.617 8.515 8.718 8.512 8.527 8.454 8.527 8.506 8.576 8.424 8.601 8.578 8.458 8.477 8.518 8.488 8.625 8.557 8.579 8.515 8.534 8.563 8.461 8.476 8.482 8.529 8.555 8.513 8.546 8.397 8.487 8.576 8.553 8.502 8.548 8.557 8.602 8.434 8.624 8.439 8.48 8.567 8.664 8.657 8.572 8.487 8.625 8.559 8.5 8.516 8.545 8.596 8.694 8.67 8.501 8.558 8.579 8.446
