62 0.8 1.1195 4.047 -1 1.118 1.137 1.19 1.026 1.111 1.229 1.127 1.22 0.963 0.932 1.143 1.185 1.063 1.197 1.126 1.203 1.225 1.132 1.102 1.18 0.967 1.053 1.004 1.106 1.12 1.099 1.147 1.136 1.175 1.085 1.041 1.002 1.118 1.058 1.165 4.047 1.184 0.998 1.005 1.092 1.053 1.069 1.036 1.213 1.236 1.136 1.088 1.212 0.996 1.091 1.084 0.937 3.168 1.321 1.094 1.029 0.982 0.954 1.046 1.058 1.042 1.031 1.174 1.223 1.114 1.089 0.991 0.945 0.887 0.876 0.863 0.91 1.076 1.129 1.411 1.163 0.999 1.016 0.824 0.924 0.8 1.208 1.069 1.034 0.847 1.045 0.804 0.908 0.899 0.989 1.087 1.22 1.126 1.079 1.109 1.069 0.976 1.082 1.085 0.813
139 0.884 1.12034 1.347 -1 1.173 1.33 1.209 1.136 1.126 1.274 1.127 1.193 1.176 1.288 1.277 1.207 1.02 1.05 0.904 0.993 0.918 1.009 0.95 1.181 1.113 1.302 1.048 1.139 1.036 1.004 1.019 1.104 1.043 1.249 1.182 1.123 1.137 1.086 0.932 1.089 1.082 1.16 1.223 1.113 1.151 1.146 1.031 1.062 1.131 0.993 0.884 1.016 1.156 1.213 1.121 1.048 1.239 1.189 1.06 1.07 0.975 1.205 1.135 1.286 1.14 1.305 1.023 1.186 1.118 1.127 1.05 1.294 1.227 1.079 1.119 1.086 1.064 1.114 1.04 1.095 1.095 1.232 1.178 1.238 1.156 0.907 1.01 1.208 1.149 1.01 1.165 1.254 1.216 1.347 1.049 1.062 1.014 0.964 1.097 1.19 1.277 1.114 1.151 1.048
1938 1.695 1.9196 3.276 -1 1.913 1.921 1.889 1.77 1.698 2.008 1.931 1.977 1.829 2.002 1.855 1.886 1.695 1.805 3.276 1.967 1.986 1.983 1.796 1.899 1.712 2.009 1.799 2.063 1.857 1.935 1.812 1.796 1.752 1.927 2.028 1.916 1.806 2.069 2 2.121 2.001 1.903 1.82 1.875 2.116 2.008 1.905 2.008 1.943 2.375 2.068 1.979 1.921 1.779 1.83 1.745 1.972 2.03 1.902 1.871 1.834 1.875 1.784 1.737 1.904 1.806 2.056 1.984 2.002 1.87 1.888 1.751 1.847 1.859 1.927 1.82 1.99 1.867 2.068 1.982 1.878 1.902 1.916 1.853 1.971 2.097 1.973 1.849 1.894 1.783 1.786 1.733 1.883 1.861 1.795 1.939 2.199 1.882 1.991 1.803 1.972 1.834 1.875 1.701
18183 5.164 5.36377 6.177 -1 5.343 5.503 5.521 5.318 5.323 5.262 5.394 5.292 5.451 5.352 5.277 5.215 5.359 5.403 6.177 5.299 5.696 5.229 5.367 5.376 5.499 5.404 5.347 5.215 5.336 5.193 5.416 5.402 5.481 5.341 5.451 5.442 5.33 5.164 5.301 5.283 5.329 5.354 5.421 5.473 5.289 5.429 5.379 5.245 5.439 5.265 5.269 5.527 5.444 5.407 5.18 5.323 5.21 5.277 5.326 5.388 5.522 5.425 5.514 5.446 5.362 5.411 5.411 5.331 5.366 5.435 5.706 5.307 5.231 5.343 5.392 5.363 5.377 5.323 5.224 5.379 5.356 5.505 5.421 5.242 5.315 5.186 5.302 5.179 5.26 5.428 5.489 5.346 5.292 5.405 5.489 5.268 5.263 5.291 5.45 5.287 5.298 5.211 5.184 5.306
307330 55.937 56.3195 56.843 -1 56.227 56.306 56.408 56.33 56.677 56.41 56.41 56.454 56.598 56.074 56.485 56.537 56.501 56.648 56.183 56.236 56.19 56.587 56.254 56.194 56.232 56.439 56.166 56.556 56.428 56.23 56.595 56.454 56.273 56.368 56.272 56.359 56.161 56.336 56.313 56.416 56.24 56.452 56.495 56.417 56.314 56.338 56.835 56.035 56.395 56.214 56.192 56.226 56.162 56.544 56.525 56.281 56.411 56.222 56.112 56.843 56.186 56.194 56.213 56.341 56.467 56.227 56.263 56.359 56.22 56.302 56.189 56.051 56.297 55.937 55.974 56.013 56.034 56.423 56.447 56.302 56.103 56.291 56.208 56.234 56.198 56.307 56.401 56.142 56.333 56.271 56.326 56.147 56.576 56.349 56.643 56.283 56.132 56.131 56.243 56.238 56.146 56.362 56.492 56.398
921701 167.043 167.479 168.968 -1 167.33 167.464 167.768 167.475 167.487 167.422 167.362 167.324 167.472 167.463 167.916 168.826 167.425 167.591 167.613 167.546 167.392 167.493 167.401 167.272 167.33 167.458 167.463 168.968 167.295 167.769 167.777 167.356 167.175 167.186 167.739 167.684 167.794 167.248 167.291 167.332 167.398 167.256 167.825 167.494 167.34 167.365 167.228 167.223 167.826 167.071 167.367 167.242 167.332 167.441 167.563 167.418 167.28 167.268 168.496 167.616 167.788 167.356 167.358 167.293 167.679 167.448 167.551 167.522 167.043 167.143 167.574 167.515 167.71 167.175 167.577 167.186 167.36 167.526 167.643 167.244 167.316 167.349 167.407 167.302 167.271 167.689 167.222 167.239 167.474 167.889 167.457 167.215 167.309 167.305 167.639 167.395 167.547 167.91 167.642 167.335 167.279 167.581 167.118 167.386
