62 0.021 0.05636 0.095 -1 0.072 0.062 0.069 0.067 0.089 0.067 0.073 0.049 0.073 0.071 0.073 0.085 0.046 0.044 0.023 0.024 0.046 0.039 0.056 0.038 0.056 0.087 0.066 0.091 0.091 0.063 0.071 0.085 0.059 0.071 0.076 0.073 0.091 0.091 0.074 0.073 0.051 0.045 0.051 0.043 0.086 0.061 0.027 0.031 0.05 0.028 0.027 0.073 0.075 0.076 0.085 0.072 0.06 0.095 0.046 0.062 0.077 0.074 0.036 0.05 0.038 0.024 0.025 0.024 0.06 0.056 0.079 0.04 0.046 0.038 0.048 0.021 0.058 0.029 0.038 0.067 0.057 0.029 0.027 0.022 0.084 0.07 0.09 0.065 0.077 0.024 0.048 0.023 0.05 0.036 0.053 0.024 0.082 0.022 0.053 0.033 0.049 0.064 0.069 0.029
139 0.018 0.0431 0.124 -1 0.07 0.053 0.025 0.065 0.038 0.028 0.027 0.063 0.061 0.041 0.046 0.027 0.055 0.027 0.056 0.056 0.018 0.037 0.038 0.023 0.043 0.041 0.039 0.026 0.023 0.022 0.039 0.043 0.054 0.042 0.04 0.06 0.02 0.07 0.061 0.049 0.031 0.049 0.038 0.025 0.029 0.055 0.04 0.085 0.049 0.032 0.048 0.05 0.02 0.035 0.039 0.039 0.019 0.069 0.048 0.071 0.022 0.024 0.037 0.08 0.072 0.049 0.058 0.029 0.018 0.024 0.053 0.068 0.041 0.03 0.039 0.024 0.018 0.039 0.047 0.037 0.037 0.034 0.043 0.025 0.041 0.027 0.064 0.048 0.019 0.066 0.057 0.055 0.031 0.024 0.04 0.058 0.058 0.049 0.069 0.031 0.124 0.023 0.038 0.043
1938 0.018 0.04319 0.085 -1 0.069 0.041 0.07 0.02 0.026 0.078 0.08 0.039 0.036 0.041 0.025 0.054 0.059 0.046 0.048 0.026 0.029 0.049 0.026 0.027 0.034 0.033 0.07 0.036 0.031 0.051 0.029 0.018 0.026 0.033 0.035 0.085 0.043 0.066 0.028 0.03 0.06 0.067 0.068 0.041 0.076 0.018 0.025 0.027 0.058 0.068 0.029 0.025 0.065 0.018 0.024 0.032 0.068 0.047 0.084 0.028 0.063 0.039 0.038 0.02 0.045 0.032 0.028 0.073 0.067 0.064 0.025 0.02 0.045 0.053 0.051 0.053 0.079 0.021 0.035 0.02 0.045 0.034 0.037 0.025 0.043 0.02 0.023 0.029 0.049 0.066 0.06 0.024 0.048 0.04 0.071 0.041 0.059 0.037 0.023 0.027 0.084 0.023 0.055 0.02
18183 0.019 0.0435 0.09 -1 0.071 0.054 0.033 0.064 0.031 0.036 0.019 0.058 0.034 0.039 0.066 0.053 0.029 0.023 0.055 0.059 0.083 0.09 0.026 0.059 0.021 0.023 0.02 0.071 0.039 0.025 0.02 0.045 0.02 0.05 0.031 0.044 0.073 0.032 0.026 0.069 0.023 0.047 0.02 0.074 0.024 0.086 0.041 0.062 0.022 0.026 0.03 0.071 0.066 0.061 0.039 0.044 0.022 0.023 0.023 0.056 0.022 0.041 0.038 0.037 0.022 0.033 0.053 0.049 0.044 0.028 0.049 0.05 0.065 0.056 0.067 0.053 0.019 0.029 0.038 0.056 0.027 0.026 0.038 0.069 0.046 0.04 0.039 0.035 0.019 0.023 0.038 0.063 0.021 0.063 0.045 0.036 0.019 0.066 0.085 0.052 0.058 0.033 0.05 0.059
307330 0.019 0.04561 0.092 -1 0.092 0.042 0.054 0.02 0.028 0.061 0.056 0.036 0.036 0.072 0.08 0.074 0.049 0.063 0.02 0.035 0.021 0.043 0.055 0.08 0.043 0.082 0.033 0.035 0.02 0.06 0.033 0.076 0.047 0.052 0.022 0.031 0.019 0.076 0.021 0.048 0.023 0.086 0.023 0.033 0.02 0.084 0.055 0.076 0.045 0.081 0.041 0.053 0.03 0.092 0.023 0.023 0.019 0.061 0.02 0.036 0.021 0.053 0.064 0.047 0.03 0.059 0.031 0.028 0.019 0.057 0.022 0.055 0.055 0.053 0.021 0.072 0.04 0.091 0.074 0.045 0.023 0.043 0.02 0.04 0.056 0.044 0.02 0.032 0.039 0.047 0.019 0.026 0.043 0.064 0.049 0.048 0.05 0.029 0.038 0.03 0.037 0.064 0.057 0.067
921701 0.017 0.04124 0.083 -1 0.073 0.019 0.03 0.04 0.062 0.052 0.033 0.046 0.031 0.018 0.042 0.038 0.048 0.027 0.03 0.04 0.036 0.017 0.026 0.036 0.05 0.041 0.058 0.045 0.078 0.029 0.04 0.05 0.035 0.021 0.043 0.063 0.041 0.027 0.026 0.072 0.055 0.037 0.03 0.083 0.041 0.022 0.039 0.052 0.043 0.018 0.065 0.039 0.056 0.044 0.041 0.069 0.033 0.064 0.044 0.038 0.028 0.043 0.027 0.05 0.04 0.017 0.027 0.055 0.029 0.021 0.04 0.08 0.059 0.045 0.03 0.04 0.027 0.027 0.06 0.07 0.062 0.04 0.031 0.065 0.028 0.019 0.032 0.057 0.064 0.022 0.046 0.039 0.037 0.027 0.025 0.065 0.03 0.032 0.026 0.047 0.027 0.021 0.024 0.067
